mjtNum: double, ntrial per row: 200000

off-diagonal roundoff floor, double, in units of eps*max|A|, iterations 12..39 of 40
family              median        p99     p99.99        max
separated             0.21       1.13       2.09       3.41
near_pair             0.23       1.15       1.98       2.86
near_triple           0.43       1.33       2.05       2.44
exact_pair            0.21       1.08       1.96       2.41
exact_triple          0.33       1.07       1.69       2.03
exact_pair_int        0.19       1.32       2.23       2.23
rank2                 0.20       1.19       2.31       2.63
rank1                 0.17       1.20       2.50       3.16
near_diagonal         0.00       0.01       0.33       0.90
inertia_cloud         0.05       0.51       1.30       2.02
tiny_rotation         0.10       1.62       2.84       3.65
indefinite            0.26       1.28       2.31       2.80

off-diagonal roundoff floor, float, in units of eps*max|A|, iterations 12..39 of 40
family              median        p99     p99.99        max
separated             0.23       1.22       2.22       2.60
near_pair             0.19       1.17       2.32       2.70
near_triple           0.21       1.16       1.96       2.55
exact_pair            0.16       1.08       2.05       2.58
exact_triple          0.11       0.70       1.14       1.46
exact_pair_int        0.21       1.16       2.66       2.66
rank2                 0.22       1.35       2.33       2.83
rank1                 0.19       1.42       2.85       4.36
near_diagonal         0.00       0.01       0.37       0.96
inertia_cloud         0.05       0.53       1.33       1.99
tiny_rotation         0.17       2.22       3.40       3.63
indefinite            0.29       1.41       2.72       3.13
