mjtNum: float, ntrial per row: 200000

== library functions, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
separated       1e+00   lib:mju_eig3(f32)        3.0e-06   4.5e-07   2.3e-06   1.9e-05   8.0e-07   1.8e-06   6.11     8        0
separated       1e+00   lib:mjuu_eig3(f64)       1.6e-14   4.9e-15   4.3e-15   3.7e-14   1.2e-14   7.8e-15   8.09    10        0
near_pair       1e+00   lib:mju_eig3(f32)        3.4e-06   3.8e-07   2.2e-06   0.0e+00   7.3e-07   2.4e-06   2.27     5        0
near_pair       1e+00   lib:mjuu_eig3(f64)       1.6e-14   4.1e-15   4.2e-15   0.0e+00   1.2e-14   7.4e-15   4.45     8        0
near_triple     1e+00   lib:mju_eig3(f32)        3.1e-06   8.1e-08   2.1e-06   0.0e+00   7.8e-07   3.7e-06   0.62     6        0
near_triple     1e+00   lib:mjuu_eig3(f64)       1.6e-14   3.9e-15   4.3e-15   0.0e+00   1.2e-14   6.8e-15   4.04     9        0
exact_pair      1e+00   lib:mju_eig3(f32)        1.8e-06   3.3e-07   1.8e-06   0.0e+00   7.9e-07   1.5e-06   2.00     2        0
exact_pair      1e+00   lib:mjuu_eig3(f64)       9.2e-15   2.8e-15   1.1e-15   0.0e+00   7.5e-15   3.8e-15   2.00     2        0
exact_triple    1e+00   lib:mju_eig3(f32)        3.2e-16   7.1e-17   3.2e-16   0.0e+00   0.0e+00   5.9e-08   0.00     0        0
exact_triple    1e+00   lib:mjuu_eig3(f64)       3.2e-16   7.1e-17   3.2e-16   0.0e+00   0.0e+00   1.4e-15   0.00     0        0
exact_pair_int  1e+00   lib:mju_eig3(f32)        1.1e-06   3.6e-07   3.1e-07   0.0e+00   6.5e-07   0.0e+00   1.58     2        0
exact_pair_int  1e+00   lib:mjuu_eig3(f64)       6.6e-15   2.7e-15   6.2e-16   0.0e+00   6.2e-15   0.0e+00   1.58     2        0
rank2           1e+00   lib:mju_eig3(f32)        2.8e-06   4.4e-07   2.3e-06   0.0e+00   7.6e-07   1.7e-06   5.94     8        0
rank2           1e+00   lib:mjuu_eig3(f64)       1.8e-14   4.9e-15   4.3e-15   0.0e+00   1.2e-14   8.0e-15   7.94    10        0
rank1           1e+00   lib:mju_eig3(f32)        1.7e-06   3.3e-07   7.4e-07   0.0e+00   7.5e-07   1.6e-06   2.00     2        0
rank1           1e+00   lib:mjuu_eig3(f64)       8.9e-15   2.8e-15   1.3e-15   0.0e+00   7.5e-15   4.8e-15   2.00     2        0
near_diagonal   1e+00   lib:mju_eig3(f32)        2.1e-06   2.4e-07   2.1e-06   0.0e+00   7.0e-07   0.0e+00   0.78     7        0
near_diagonal   1e+00   lib:mjuu_eig3(f64)       1.5e-14   5.1e-15   4.1e-15   0.0e+00   1.1e-14   0.0e+00   2.93     9        0
inertia_cloud   1e+00   lib:mju_eig3(f32)        2.5e-06   4.1e-07   2.1e-06   0.0e+00   7.0e-07   0.0e+00   5.04     7        0
inertia_cloud   1e+00   lib:mjuu_eig3(f64)       1.6e-14   9.1e-15   4.2e-15   0.0e+00   1.3e-14   0.0e+00   7.08     9        0
tiny_rotation   1e+00   lib:mju_eig3(f32)        2.5e-06   1.9e-07   2.3e-06   0.0e+00   6.8e-07   1.1e-06   3.72     8        0
tiny_rotation   1e+00   lib:mjuu_eig3(f64)       1.1e-14   1.3e-15   4.5e-15   0.0e+00   7.1e-15   7.3e-15   5.76    10        0
