mjtNum: double, ntrial per row: 50000

== candidate rules, double, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
separated       1e+00   double:current           2.6e-06   2.5e-08   2.7e-06   1.4e-06   4.4e-15   3.8e-12   6.22     8        0
separated       1e+00   double:nocos             3.3e-08   4.7e-10   3.4e-08   1.8e-08   4.4e-15   5.3e-15 499.92   500    49992
separated       1e+00   double:nocos+stable      4.2e-12   3.3e-15   5.6e-12   3.6e-11   4.7e-15   6.8e-15   7.78     9        0
separated       1e+00   double:ttest(1)          3.3e-08   4.7e-10   3.4e-08   1.8e-08   4.4e-15   5.3e-15 499.92   500    49992
separated       1e+00   double:ttest(1)+stable   4.2e-12   3.3e-15   5.6e-12   3.6e-11   4.7e-15   6.8e-15   7.78     9        0
separated       1e+00   double:rel(4)            7.6e-15   1.9e-15   1.2e-15   7.6e-15   4.7e-15   6.8e-15   8.18    10        0
separated       1e+00   double:rel(8)            7.6e-15   1.9e-15   2.0e-15   1.5e-14   4.7e-15   6.8e-15   8.14    10        0
separated       1e+00   double:rel(16)           8.5e-15   2.0e-15   3.9e-15   3.0e-14   4.7e-15   6.8e-15   8.10    10        0
separated       1e+00   double:rel(32)           1.2e-14   2.1e-15   7.2e-15   6.5e-14   4.7e-15   6.8e-15   8.06    10        0
separated       1e+00   double:rel(8)+legacyhalf   3.3e-08   4.7e-10   3.4e-08   1.8e-08   4.4e-15   5.3e-15 500.00   500    50000
separated       1e+00   double:progress          7.4e-15   1.9e-15   9.1e-16   3.6e-15   4.7e-15   7.3e-15  10.46    24        0
separated       1e+00   double:rel(8)+progress   7.6e-15   1.9e-15   2.0e-15   1.5e-14   4.7e-15   6.8e-15   8.14    10        0
near_pair       1e+00   double:current           3.0e-06   3.1e-12   3.3e-06   0.0e+00   4.4e-15   5.4e-12   2.83     6        0
near_pair       1e+00   double:nocos             4.0e-08   2.5e-12   3.7e-08   0.0e+00   4.4e-15   4.6e-12 284.39   500    28342
near_pair       1e+00   double:nocos+stable      6.8e-12   3.2e-15   7.5e-12   0.0e+00   4.7e-15   4.6e-12   3.86     7        0
near_pair       1e+00   double:ttest(1)          4.0e-08   2.5e-12   3.7e-08   0.0e+00   4.4e-15   4.6e-12 284.39   500    28342
near_pair       1e+00   double:ttest(1)+stable   6.8e-12   3.2e-15   7.5e-12   0.0e+00   4.7e-15   4.6e-12   3.86     7        0
near_pair       1e+00   double:rel(4)            6.8e-15   1.5e-15   1.2e-15   0.0e+00   4.7e-15   7.4e-15   4.63     8        0
near_pair       1e+00   double:rel(8)            6.9e-15   1.5e-15   2.0e-15   0.0e+00   4.7e-15   7.4e-15   4.54     8        0
near_pair       1e+00   double:rel(16)           8.6e-15   1.7e-15   3.7e-15   0.0e+00   4.7e-15   7.4e-15   4.46     8        0
near_pair       1e+00   double:rel(32)           1.2e-14   2.0e-15   7.3e-15   0.0e+00   4.7e-15   7.8e-15   4.38     8        0
near_pair       1e+00   double:rel(8)+legacyhalf   4.0e-08   2.5e-12   3.7e-08   0.0e+00   4.4e-15   7.9e-14 398.43   500    39797
near_pair       1e+00   double:progress          6.6e-15   1.5e-15   9.4e-16   0.0e+00   4.7e-15   8.0e-15   6.91    32        0
near_pair       1e+00   double:rel(8)+progress   6.9e-15   1.5e-15   2.0e-15   0.0e+00   4.7e-15   7.4e-15   4.54     8        0
near_triple     1e+00   double:current           1.3e-09   3.4e-14   1.3e-09   0.0e+00   4.4e-15   1.0e-11   2.78     8        0
near_triple     1e+00   double:nocos             1.9e-11   2.2e-14   1.6e-11   0.0e+00   4.4e-15   1.0e-11  16.21   500     1342
near_triple     1e+00   double:nocos+stable      1.2e-11   1.3e-14   9.7e-12   0.0e+00   4.7e-15   1.0e-11   2.93     9        0
near_triple     1e+00   double:ttest(1)          1.9e-11   2.2e-14   1.6e-11   0.0e+00   4.4e-15   1.0e-11  16.21   500     1342
near_triple     1e+00   double:ttest(1)+stable   1.2e-11   1.3e-14   9.7e-12   0.0e+00   4.7e-15   1.0e-11   2.93     9        0
near_triple     1e+00   double:rel(4)            7.2e-15   1.5e-15   1.1e-15   0.0e+00   4.4e-15   4.0e-15   4.36     9        0
near_triple     1e+00   double:rel(8)            7.2e-15   1.5e-15   2.0e-15   0.0e+00   4.4e-15   4.0e-15   4.21     9        0
near_triple     1e+00   double:rel(16)           9.3e-15   1.9e-15   3.7e-15   0.0e+00   4.4e-15   5.4e-15   4.06     9        0
near_triple     1e+00   double:rel(32)           1.3e-14   2.3e-15   7.3e-15   0.0e+00   4.4e-15   1.1e-14   3.91     9        0
near_triple     1e+00   double:rel(8)+legacyhalf   1.9e-11   1.9e-15   1.6e-11   0.0e+00   4.4e-15   2.8e-15 123.91   500    12104
near_triple     1e+00   double:progress          7.2e-15   1.6e-15   6.4e-16   0.0e+00   4.7e-15   4.3e-15   6.57    16        0
near_triple     1e+00   double:rel(8)+progress   7.2e-15   1.5e-15   2.0e-15   0.0e+00   4.4e-15   4.0e-15   4.21     9        0
exact_pair      1e+00   double:current           1.6e-12   8.7e-16   2.1e-12   0.0e+00   4.0e-15   3.0e-15   2.00     2        0
exact_pair      1e+00   double:nocos             1.6e-12   8.7e-16   2.1e-12   0.0e+00   4.0e-15   3.0e-15   2.19   500       19
exact_pair      1e+00   double:nocos+stable      5.8e-15   9.3e-16   8.2e-16   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_pair      1e+00   double:ttest(1)          1.6e-12   8.7e-16   2.1e-12   0.0e+00   4.0e-15   3.0e-15   2.19   500       19
exact_pair      1e+00   double:ttest(1)+stable   5.8e-15   9.3e-16   8.2e-16   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_pair      1e+00   double:rel(4)            5.8e-15   9.3e-16   8.2e-16   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_pair      1e+00   double:rel(8)            5.8e-15   9.3e-16   8.2e-16   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_pair      1e+00   double:rel(16)           5.8e-15   9.3e-16   8.2e-16   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_pair      1e+00   double:rel(32)           5.8e-15   9.3e-16   8.2e-16   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_pair      1e+00   double:rel(8)+legacyhalf   1.6e-12   8.7e-16   2.1e-12   0.0e+00   4.0e-15   3.0e-15  42.63   500     4079
exact_pair      1e+00   double:progress          5.8e-15   9.5e-16   7.1e-16   0.0e+00   4.7e-15   3.8e-15   4.10   110        0
exact_pair      1e+00   double:rel(8)+progress   5.8e-15   9.3e-16   8.2e-16   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_triple    1e+00   double:current           3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:nocos             3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:nocos+stable      3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:ttest(1)          3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:ttest(1)+stable   3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:rel(4)            3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:rel(8)            3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:rel(16)           3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:rel(32)           3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:rel(8)+legacyhalf   3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_triple    1e+00   double:progress          4.2e-15   4.6e-16   1.9e-16   0.0e+00   2.1e-15   2.6e-15   2.36     8        0
exact_triple    1e+00   double:rel(8)+progress   3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   1.2e-15   0.00     0        0
exact_pair_int  1e+00   double:current           3.9e-15   6.1e-16   8.9e-16   0.0e+00   3.3e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:nocos             3.9e-15   6.1e-16   8.9e-16   0.0e+00   3.3e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:nocos+stable      3.8e-15   6.9e-16   6.2e-16   0.0e+00   4.4e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:ttest(1)          3.9e-15   6.1e-16   8.9e-16   0.0e+00   3.3e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:ttest(1)+stable   3.8e-15   6.9e-16   6.2e-16   0.0e+00   4.4e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:rel(4)            3.8e-15   6.9e-16   6.2e-16   0.0e+00   4.4e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:rel(8)            3.8e-15   6.9e-16   6.2e-16   0.0e+00   4.4e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:rel(16)           3.8e-15   6.9e-16   6.2e-16   0.0e+00   4.4e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:rel(32)           3.8e-15   6.9e-16   6.2e-16   0.0e+00   4.4e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:rel(8)+legacyhalf   3.9e-15   6.1e-16   8.9e-16   0.0e+00   3.3e-15   0.0e+00   1.58     2        0
exact_pair_int  1e+00   double:progress          4.0e-15   5.7e-16   7.4e-16   0.0e+00   3.6e-15   0.0e+00   3.38     9        0
exact_pair_int  1e+00   double:rel(8)+progress   3.8e-15   6.9e-16   6.2e-16   0.0e+00   4.4e-15   0.0e+00   1.58     2        0
rank2           1e+00   double:current           3.3e-06   2.0e-08   3.4e-06   0.0e+00   4.7e-15   4.7e-12   6.08     8        0
rank2           1e+00   double:nocos             4.2e-08   6.2e-10   4.6e-08   0.0e+00   4.7e-15   4.5e-15 499.42   500    49941
rank2           1e+00   double:nocos+stable      7.3e-12   3.5e-15   9.2e-12   0.0e+00   4.7e-15   7.3e-15   7.61    10        0
rank2           1e+00   double:ttest(1)          4.2e-08   6.2e-10   4.6e-08   0.0e+00   4.7e-15   4.5e-15 499.42   500    49941
rank2           1e+00   double:ttest(1)+stable   7.3e-12   3.5e-15   9.2e-12   0.0e+00   4.7e-15   7.3e-15   7.61    10        0
rank2           1e+00   double:rel(4)            7.0e-15   1.9e-15   1.3e-15   0.0e+00   4.7e-15   7.3e-15   8.04    10        0
rank2           1e+00   double:rel(8)            7.0e-15   1.9e-15   2.1e-15   0.0e+00   4.7e-15   7.3e-15   8.00    10        0
rank2           1e+00   double:rel(16)           8.4e-15   2.0e-15   3.8e-15   0.0e+00   4.7e-15   7.3e-15   7.95    10        0
rank2           1e+00   double:rel(32)           1.2e-14   2.1e-15   7.4e-15   0.0e+00   4.7e-15   7.3e-15   7.91    10        0
rank2           1e+00   double:rel(8)+legacyhalf   4.2e-08   6.2e-10   4.6e-08   0.0e+00   4.7e-15   4.5e-15 500.00   500    50000
rank2           1e+00   double:progress          7.7e-15   1.9e-15   8.5e-16   0.0e+00   4.7e-15   7.6e-15  10.25    28        0
rank2           1e+00   double:rel(8)+progress   7.0e-15   1.9e-15   2.1e-15   0.0e+00   4.7e-15   7.3e-15   8.00    10        0
rank1           1e+00   double:current           6.4e-12   1.1e-15   7.3e-12   0.0e+00   4.0e-15   3.2e-15   2.00     2        0
rank1           1e+00   double:nocos             6.4e-12   1.1e-15   7.3e-12   0.0e+00   4.0e-15   3.2e-15   2.26   500       26
rank1           1e+00   double:nocos+stable      6.1e-15   9.1e-16   1.3e-15   0.0e+00   4.4e-15   4.8e-15   2.00     2        0
