mjtNum: double, ntrial per row: 50000

== candidate rules, double, scale sweep
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
separated       1e-12   double:current           8.8e-01   1.7e-01   8.8e-01   1.6e+00   4.0e-15   1.3e+00   0.74     4        0
separated       1e-12   double:ttest(1)+stable   8.8e-01   1.7e-01   8.8e-01   1.6e+00   4.4e-15   1.3e+00   0.74     4        0
separated       1e-12   double:rel(8)            7.5e-15   1.7e-15   2.1e-15   1.6e-14   4.7e-15   6.3e-15   8.14    10        0
separated       1e-12   double:rel(8)+legacyhalf   3.2e-08   4.7e-10   3.7e-08   1.8e-08   4.7e-15   4.4e-15 500.00   500    50000
separated       1e-12   double:rel(8)+progress   7.5e-15   1.7e-15   2.1e-15   1.6e-14   4.7e-15   6.3e-15   8.14    10        0
separated       1e-06   double:current           5.9e-06   3.0e-08   6.1e-06   4.4e-05   4.7e-15   2.2e-10   6.20     8        0
separated       1e-06   double:ttest(1)+stable   5.9e-06   8.3e-09   6.1e-06   4.4e-05   4.7e-15   2.2e-10   6.36     8        0
separated       1e-06   double:rel(8)            7.4e-15   2.0e-15   2.0e-15   1.7e-14   4.7e-15   6.7e-15   8.14    10        0
separated       1e-06   double:rel(8)+legacyhalf   3.2e-08   4.7e-10   3.7e-08   1.8e-08   4.7e-15   4.8e-15 500.00   500    50000
separated       1e-06   double:rel(8)+progress   7.4e-15   2.0e-15   2.0e-15   1.7e-14   4.7e-15   6.7e-15   8.14    10        0
separated       1e+06   double:current           2.7e-06   2.5e-08   2.8e-06   1.4e-06   4.7e-15   3.9e-12   6.23     8        0
separated       1e+06   double:ttest(1)+stable   7.4e-15   1.9e-15   6.9e-16   3.8e-15   4.7e-15   6.8e-15  15.91   500      736
separated       1e+06   double:rel(8)            7.4e-15   2.0e-15   2.0e-15   1.6e-14   4.7e-15   6.8e-15   8.14    10        0
separated       1e+06   double:rel(8)+legacyhalf   3.2e-08   4.7e-10   3.7e-08   1.8e-08   4.7e-15   4.1e-15 500.00   500    50000
separated       1e+06   double:rel(8)+progress   7.4e-15   2.0e-15   2.0e-15   1.6e-14   4.7e-15   6.8e-15   8.14    10        0
separated       1e+12   double:current           2.7e-06   2.5e-08   2.8e-06   1.4e-06   4.7e-15   3.9e-12   6.23     8        0
separated       1e+12   double:ttest(1)+stable   7.2e-15   1.9e-15   7.9e-16   3.1e-15   4.7e-15   7.6e-15  15.29   500      672
separated       1e+12   double:rel(8)            7.2e-15   2.0e-15   1.9e-15   1.6e-14   4.7e-15   7.2e-15   8.14    10        0
separated       1e+12   double:rel(8)+legacyhalf   3.2e-08   4.7e-10   3.7e-08   1.8e-08   4.7e-15   4.4e-15 500.00   500    50000
separated       1e+12   double:rel(8)+progress   7.2e-15   2.0e-15   1.9e-15   1.6e-14   4.7e-15   7.2e-15   8.14    10        0
exact_pair      1e-12   double:current           8.8e-01   1.3e-01   8.8e-01   0.0e+00   4.0e-15   1.6e+00   0.53     2        0
exact_pair      1e-12   double:ttest(1)+stable   8.8e-01   1.3e-01   8.8e-01   0.0e+00   4.4e-15   1.6e+00   0.53     2        0
exact_pair      1e-12   double:rel(8)            5.7e-15   8.4e-16   1.1e-15   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_pair      1e-12   double:rel(8)+legacyhalf   4.4e-11   7.4e-16   4.6e-11   0.0e+00   4.0e-15   2.6e-15  43.42   500     4159
exact_pair      1e-12   double:rel(8)+progress   5.7e-15   8.4e-16   1.1e-15   0.0e+00   4.7e-15   3.8e-15   2.00     2        0
exact_pair      1e-06   double:current           4.4e-11   8.9e-16   4.6e-11   0.0e+00   4.0e-15   2.6e-15   2.00     2        0
exact_pair      1e-06   double:ttest(1)+stable   5.9e-15   9.4e-16   1.3e-15   0.0e+00   4.4e-15   3.8e-15   2.00     2        0
