angle_difference_from_tendon_rad,closure,compliance_m_N,damping,decay_s,deflection_m,deflection_rms_m,drive_kv,dt,duration,energy_change_J,energy_initial_J,equality_work_J,exact,failed,frequency,group,impedance,input_torque_Nm,input_work_J,inverse_dynamics_error_Nm,load,mass,max_closure_m,mode,num_bytes,output_work_J,precision,reference_rms_Nm,rotation,rows_mode,samples,static_error_Nm,static_reference_Nm,step_seconds,theta,timeconst,torque_difference_from_tendon_Nm,trace,work_balance_error_J
,connect,1.1398185974699997e-05,1,0.019749956422674263,-3.6752823007183003e-16,7.967059499345518e-06,5,0.0005,2,7.89340624805e-33,0.0,-1.1389970792519026e-05,1,False,1,calibration,0.99,-1.1457167586198127e-14,-1.8175051452573716e-05,0.00011878788720174741,1,0.2,1.14681603483e-05,calibrate,8,2.8889309635755452e-05,double,0.06617822933277091,90,1,4001,-1.1457167586198127e-14,0.0,0.004207527,90,0.01,,,6.757126093372898e-07
,connect,1.1398185974699997e-05,1,0.019749956422693577,-3.6726177654592e-16,7.967059499345568e-06,5,0.0005,2,2.69318382844e-33,0.0,-1.1389970792519518e-05,1,False,1,calibration,0.99,-1.1456041341757354e-14,-1.8175051452573503e-05,0.00011878788720170108,1,0.2,1.14681603483e-05,calibrate,8,2.888930963575515e-05,double,0.06617822933277091,90,1,4001,-1.1456041341757354e-14,0.0,0.003875672,90,0.010000000000000005,,,6.757126093378709e-07
,connect,1.1398185974699997e-05,1,0.019749956422693577,-3.6726177654592e-16,7.967059499345568e-06,5,0.0005,2,2.69318382844e-33,0.0,-1.1389970792519518e-05,1,False,1,calibration,0.99,-1.1456041341757354e-14,-1.8175051452573503e-05,0.00011878788720170108,1,0.2,1.14681603483e-05,calibrate,8,2.888930963575515e-05,double,0.06617822933277091,90,1,4001,-1.1456041341757354e-14,0.0,0.003737592,90,0.010000000000000005,,,6.757126093378709e-07
,weld,1.0457054266899998e-05,1,0.01975015484385735,5.91895421564346e-15,7.302294979294688e-06,5,0.0005,2,1.43191895284e-32,0.0,-1.0287246656729187e-05,1,False,1,calibration,0.99,7.368579979906715e-13,-1.8536371443292387e-05,0.00036821903413351983,1,0.2,1.05378923726e-05,calibrate,8,2.7948176063196575e-05,double,0.06619283506845348,90,1,4001,7.368579979906715e-13,0.0,0.00482686,90,0.010000000000000005,,,8.754420368249996e-07
,weld,1.0775519279299998e-05,1,0.019750148478555767,5.9310334421536745e-15,7.52502525815681e-06,5,0.0005,2,1.91762097206e-32,0.0,-1.0612178809766977e-05,1,False,1,calibration,0.9896954546604648,7.412516287485797e-13,-1.8529834559368195e-05,0.0003649943558451889,1,0.2,1.08588189104e-05,calibrate,8,2.8266642979207173e-05,double,0.06619276113569333,90,1,4001,7.412516287485797e-13,0.0,0.004855652,90,0.010000000000000005,,,8.753703899279985e-07
,weld,1.1103683013799997e-05,1,0.020359239044436823,8.676126483920026e-15,7.751659220668714e-06,5,0.0005,2,2.17376863382e-32,0.0,-1.0947384265875935e-05,1,False,1,calibration,0.99,9.944217159054257e-13,-1.8522816664594423e-05,0.0003571911050095683,1,0.2,1.11895183518e-05,calibrate,8,2.8594808675078416e-05,double,0.06619263046542326,90,1,4001,9.944217159054257e-13,0.0,0.004822894,90,0.010304545339535176,,,8.753922553919413e-07
,weld,1.1398186000900002e-05,1,0.019749956957796043,5.968159300094921e-15,7.960638952641986e-06,5,0.0005,2,1.05684437452e-31,0.0,-1.1247482222706876e-05,1,False,1,calibration,0.9890998075176296,7.497727024691659e-13,-1.851707926459909e-05,0.000358713243844074,1,0.2,1.14862983822e-05,calibrate,8,2.8889313422587513e-05,double,0.06619261683020622,90,1,4001,7.497727024691659e-13,0.0,0.005171956,90,0.00999990991577752,,,8.752480647184546e-07
,weld,1.1398186000900002e-05,1,0.019749956957796043,5.968159300094921e-15,7.960638952641986e-06,5,0.0005,2,1.05684437452e-31,0.0,-1.1247482222706876e-05,1,False,1,calibration,0.9890998075176296,7.497727024691659e-13,-1.851707926459909e-05,0.000358713243844074,1,0.2,1.14862983822e-05,calibrate,8,2.8889313422587513e-05,double,0.06619261683020622,90,1,4001,7.497727024691659e-13,0.0,0.004873891,90,0.00999990991577752,,,8.752480647184546e-07
,weld,1.1398186000900002e-05,1,0.019749956957796043,5.968159300094921e-15,7.960638952641986e-06,5,0.0005,2,1.05684437452e-31,0.0,-1.1247482222706876e-05,1,False,1,calibration,0.9890998075176296,7.497727024691659e-13,-1.851707926459909e-05,0.000358713243844074,1,0.2,1.14862983822e-05,calibrate,8,2.8889313422587513e-05,double,0.06619261683020622,90,1,4001,7.497727024691659e-13,0.0,0.004972237,90,0.00999990991577752,,,8.752480647184546e-07
,tendon,1.62166122327e-05,1,0.01975140047746731,1.3671330734155229e-14,1.1321267616000068e-05,5,0.0005,2,1.7270343049e-32,0.0,-1.634271137446576e-05,1,False,1,calibration,0.99,9.098621381897201e-13,-1.8647843258076582e-05,0.000415446804766815,1,0,1.6211486953e-05,calibrate,8,3.370771734564768e-05,double,0.06618194153397351,90,1,4001,9.098621381897201e-13,0.0,0.00279776,90,0.010000000000000005,,,1.2828372868946622e-06
