time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0,1.57079633,1.9085072,0,0,-1.56393939e-12,0,-0,0,0,0,6.28190294e-17,0,0,-0,0,2,0,0,0
0.002,1.57079633,1.9085072,8.30771332e-09,3.82530609e-09,4.27793146e-05,1.7245358e-07,-3.82530609e-09,1.78877012e-09,-7.06101844e-15,7.04991621e-15,7.29904634e-15,1.37044861e-19,1.4326949e-15,-1.46329667e-17,-6.66195668e-18,2,4.92336061e-12,-5.58361306e-12,2.26696689e-12
0.004,1.57079633,1.9085072,3.76428717e-07,1.73347705e-07,0.000636033868,2.61859473e-06,-1.73347705e-07,8.10599692e-08,-4.86322094e-13,4.8605564e-13,4.99451959e-13,2.81382981e-16,9.85714253e-13,-3.00494267e-14,-4.76357155e-15,2,3.41534568e-10,-3.87321495e-10,1.57275308e-10
0.006,1.57079633,1.9085072,2.98436177e-06,1.37451237e-06,0.00289665528,1.21999936e-05,-1.37451237e-06,6.42742461e-07,-5.28808108e-12,5.28638244e-12,5.42517852e-12,1.76878222e-14,3.64091946e-11,-1.88928425e-12,-1.8262501e-13,2,3.74258499e-09,-4.24415384e-09,1.72364819e-09
0.008,1.57079635,1.90850721,1.20844025e-05,5.56664723e-06,0.00799217784,3.44929612e-05,-5.56664723e-06,2.6030472e-06,-2.74892109e-11,2.74805734e-11,2.8165771e-11,2.90045619e-13,4.16826825e-10,-3.09875614e-11,-2.16700368e-12,2,1.96254015e-08,-2.22546423e-08,9.03968402e-09
0.01,1.5707964,1.90850723,3.39475552e-05,1.56407723e-05,0.0165734646,7.34497381e-05,-1.56407723e-05,7.31385832e-06,-9.51251078e-11,9.50953205e-11,9.73498775e-11,2.28919669e-12,2.49343904e-09,-2.44633757e-10,-1.34209129e-11,2,6.8580191e-08,-7.77648809e-08,3.1593494e-08
0.012,1.57079651,1.90850729,7.55668133e-05,3.48234983e-05,0.0285025552,0.000130033394,-3.48234983e-05,1.62839878e-05,-2.53669352e-10,2.53589982e-10,2.5930789e-10,1.13444769e-11,9.82620921e-09,-1.21267604e-09,-5.47020445e-11,2,1.84886805e-07,-2.09639728e-07,8.51874813e-08
0.014,1.57079674,1.90850739,0.000143109658,6.59648715e-05,0.0429710188,0.000202355968,-6.59648715e-05,3.0846162e-05,-5.6391869e-10,5.63742386e-10,5.75834605e-10,4.06932682e-11,2.89590933e-08,-4.35136427e-09,-1.66512451e-10,2,4.16001611e-07,-4.7167799e-07,1.91708974e-07
0.016,1.57079715,1.90850758,0.000240856423,0.000111049183,0.0589135902,0.000287098964,-0.000111049183,5.19282701e-05,-1.09620202e-09,1.09585946e-09,1.11822687e-09,1.1528421e-10,6.91496295e-08,-1.23319211e-08,-4.09783323e-10,2,8.19456969e-07,-9.29094289e-07,3.77709342e-07
0.018,1.57079779,1.90850787,0.000371060063,0.000171129458,0.0754951465,0.000381425029,-0.000171129458,8.00227325e-05,-1.92345233e-09,1.92285116e-09,1.9602164e-09,2.73663097e-10,1.41531595e-07,-2.92852915e-08,-8.61470893e-10,2,1.45875646e-06,-1.65386349e-06,6.72519197e-07
