time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0,1.57079633,1.9085072,0,0,0,0,-0,0,0,0,0,0,0,-0,0,1,0,0
0.002,1.57079633,1.9085072,1.52679958e-08,7.02035723e-09,7.77126817e-05,1.7038639e-07,-7.02035723e-09,3.28282363e-09,-1.41220369e-14,1.40998324e-14,1.40998324e-14,2.48387037e-19,2.60145868e-15,-4.92854156e-17,-2.35670694e-17,1,9.05774068e-12,4.16480636e-12
0.004,1.57079633,1.9085072,6.63846378e-07,3.05295183e-07,0.00108948714,2.48574189e-06,-3.05295183e-07,1.42760576e-07,-9.40225675e-13,9.39914813e-13,9.39914813e-13,4.69655774e-16,1.65015075e-12,-9.3205149e-14,-1.52832664e-14,1,6.07240245e-10,2.79253576e-10
0.006,1.57079633,1.9085072,4.96292079e-06,2.28286533e-06,0.0045702966,1.08975632e-05,-2.28286533e-06,1.06750184e-06,-9.72786296e-12,9.72477654e-12,9.72477654e-12,2.62551876e-14,5.40837431e-11,-5.2114741e-12,-5.11422232e-13,1,6.34744576e-09,2.91952099e-09
0.008,1.57079636,1.90850722,1.87062044e-05,8.60663821e-06,0.0114161209,2.85835364e-05,-8.60663821e-06,4.0245923e-06,-4.76324313e-11,4.7617521e-11,4.7617521e-11,3.73098026e-13,5.34689474e-10,-7.40742213e-11,-5.15480373e-12,1,3.14442511e-08,1.44656383e-08
0.01,1.57079643,1.90850725,4.85282457e-05,2.23338137e-05,0.0212479773,5.61634546e-05,-2.23338137e-05,1.04436245e-05,-1.54220103e-10,1.54171897e-10,1.54171897e-10,2.51170368e-12,2.72551392e-09,-4.98799235e-10,-2.67404351e-11,1,1.03152758e-07,4.74646668e-08
0.012,1.57079659,1.90850732,9.95764338e-05,4.58417435e-05,0.0329094683,9.2266857e-05,-4.58417435e-05,2.14362845e-05,-3.83676868e-10,3.83556908e-10,3.83556908e-10,1.05788095e-11,9.18760458e-09,-2.10146545e-09,-9.14710619e-11,1,2.60419879e-07,1.19857838e-07
0.014,1.57079688,1.90850746,0.000174716742,8.04617439e-05,0.0454891667,0.000135559124,-8.04617439e-05,3.76251187e-05,-7.96744493e-10,7.96495425e-10,7.96495425e-10,3.25800793e-11,2.36844485e-08,-6.47409223e-09,-2.38214977e-10,1,5.49595298e-07,2.53015256e-07
0.016,1.57079735,1.90850767,0.000275614315,0.000126974576,0.0589523941,0.000186331984,-0.000126974576,5.93752286e-05,-1.45451033e-09,1.45405571e-09,1.45405571e-09,8.11066443e-11,5.13557622e-08,-1.6122543e-08,-5.18778621e-10,1,1.02099093e-06,4.70158118e-07
0.018,1.57079806,1.908508,0.000404466805,0.000186406655,0.073949669,0.000246465106,-0.000186406655,8.71665914e-05,-2.41767988e-09,2.41692427e-09,2.41692427e-09,1.74739937e-10,9.96869537e-08,-3.4747441e-08,-1.00533331e-09,1,1.72867631e-06,7.96266684e-07
