time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0,1.57079633,1.9085072,0,0,6.5271761e-13,0,-0,0,0,0,6.28190294e-17,0,0,-0,0,3,0,0,0,0
0.002,1.57079633,1.9085072,8.38094063e-09,3.81752483e-09,4.31484245e-05,1.72431838e-07,-3.81752483e-09,1.78513148e-09,-1.20792265e-14,1.20459198e-14,1.236305e-14,1.3704936e-19,1.44514099e-15,-1.45734958e-17,-1.92104851e-17,3,4.96684545e-12,-5.63718869e-12,2.26234156e-12,-2.92033632e-12
0.004,1.57079633,1.9085072,3.7951089e-07,1.73004557e-07,0.000640980306,2.6171761e-06,-1.73004557e-07,8.08995082e-08,-8.13971113e-13,8.13682455e-13,8.32971773e-13,2.8124822e-16,9.93246831e-13,-2.99305767e-14,-1.30632034e-14,3,3.44371822e-10,-3.9081998e-10,1.56963705e-10,-2.02601077e-10
0.006,1.57079633,1.9085072,3.00637274e-06,1.37162178e-06,0.00291601772,1.21856927e-05,-1.37162178e-06,6.41390778e-07,-8.67199645e-12,8.66928751e-12,8.86950114e-12,1.76640821e-14,3.66347342e-11,-1.8813463e-12,-4.7595412e-13,3,3.77118688e-09,-4.2795056e-09,1.7201034e-09,-2.22004709e-09
0.008,1.57079635,1.90850721,1.21620873e-05,5.55341497e-06,0.00803542966,3.44254851e-05,-5.55341497e-06,2.59685959e-06,-4.41751524e-11,4.41613413e-11,4.51553788e-11,2.89326403e-13,4.18685754e-10,-3.08404178e-11,-5.36918109e-12,3,1.97603537e-08,-2.24221445e-08,9.01936008e-09,-1.16398364e-08
0.01,1.5707964,1.90850723,3.41305798e-05,1.55976593e-05,0.0166402128,7.32425947e-05,-1.55976593e-05,7.29369806e-06,-1.49832813e-10,1.49785961e-10,1.5307085e-10,2.28049409e-12,2.49981222e-09,-2.43286975e-10,-3.16184247e-11,3,6.89944778e-08,-7.8282409e-08,3.1513682e-08,-4.06660752e-08
0.012,1.57079651,1.90850729,7.5892855e-05,3.47124549e-05,0.0285772583,0.000129555551,-3.47124549e-05,1.62320623e-05,-3.91710575e-10,3.91588095e-10,3.99950464e-10,1.12854329e-11,9.83234065e-09,-1.20495453e-09,-1.22544475e-10,3,1.85842491e-07,-2.1084473e-07,8.49441682e-08,-1.09604153e-07
0.014,1.57079674,1.90850739,0.000143575649,6.57262963e-05,0.0430271883,0.000201462271,-6.57262963e-05,3.07346007e-05,-8.53866622e-10,8.53599691e-10,8.71339052e-10,4.04257623e-11,2.89250763e-08,-4.31994603e-09,-3.54804229e-10,3,4.17789004e-07,-4.73961492e-07,1.91095047e-07,-2.46548034e-07
0.016,1.57079715,1.90850758,0.000241405295,0.00011060701,0.0589265533,0.00028568106,-0.00011060701,5.17215033e-05,-1.62801439e-09,1.62750563e-09,1.66040168e-09,1.14386316e-10,6.89649205e-08,-1.22339107e-08,-8.3126722e-10,3,8.22292777e-07,-9.32784573e-07,3.76376346e-07,-4.85547265e-07
0.018,1.57079779,1.90850787,0.000371595677,0.00017040543,0.0754565256,0.000379458368,-0.00017040543,7.96841659e-05,-2.80294912e-09,2.80207307e-09,2.85713347e-09,2.71272073e-10,1.41005089e-07,-2.90380105e-08,-1.66686983e-09,3,1.46268978e-06,-1.65911541e-06,6.69960994e-07,-8.6420027e-07
