time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0,1.57079633,1.9085072,0,0,-7.47678367e-12,0,0,-0,0,0,6.28190294e-17,0,0,0,0,2,0,0,0
0.002,1.57079633,1.9085072,-2.25462463e-15,8.50518089e-15,-1.60226874e-13,1.30599511e-14,0,-0,0,0,6.28190294e-17,1.95730606e-31,-2.94452874e-29,0,2.70387024e-28,2,-3.57365591e-18,1.4901462e-17,9.74987346e-18
0.004,1.57079633,1.9085072,-1.91386108e-15,1.89597968e-14,4.51412106e-12,1.34757293e-14,0,-0,0,0,3.23682852e-17,9.61592618e-31,-2.57906739e-29,0,3.79509909e-28,2,-7.81284782e-18,4.60458543e-17,3.99225766e-17
0.006,1.57079633,1.9085072,-1.84261231e-16,2.43748118e-14,1.3149759e-12,5.49860804e-15,0,-0,0,0,3.23682852e-17,1.58567844e-30,-1.01318029e-30,0,2.18475612e-28,2,-9.15460376e-18,7.27357808e-17,8.52777852e-17
0.008,1.57079633,1.9085072,1.50439113e-15,2.37359887e-14,1.00215429e-12,-3.81574147e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.50469882e-30,-5.74036764e-30,0,-2.37544077e-28,2,-7.4124284e-18,8.89589787e-17,1.34558495e-16
0.01,1.57079633,1.9085072,1.62505281e-15,1.94913845e-14,-5.88809643e-13,-6.08225454e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.01522041e-30,-9.88398483e-30,0,-2.19958558e-28,2,-4.08601903e-18,1.00309851e-16,1.76846725e-16
0.012,1.57079633,1.9085072,1.22015169e-15,1.53068849e-14,-7.72323081e-13,-5.44093695e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,6.26041229e-31,-6.63876842e-30,0,-1.4702389e-28,2,-1.31964299e-18,1.09503217e-16,2.10501887e-16
0.014,1.57079633,1.9085072,8.02625118e-16,1.18714799e-14,-6.31765201e-13,-4.30669752e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.7644151e-31,-3.4566636e-30,0,-9.02823182e-29,2,5.87143855e-19,1.17336967e-16,2.36695508e-16
0.016,1.57079633,1.9085072,4.79066443e-16,9.19538766e-15,-4.55520448e-13,-3.28129201e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,2.25777508e-31,-1.57195689e-30,0,-5.41776694e-29,2,1.77191959e-18,1.24087265e-16,2.56984181e-16
0.018,1.57079633,1.9085072,2.50961929e-16,7.14323484e-15,3.94009636e-12,-2.47053283e-15,0,-0,4.4408921e-17,-5.55111512e-17,2.94065051e-17,1.36211602e-31,-6.20009685e-31,0,-9.65774977e-29,2,2.43144636e-18,1.29895271e-16,2.7272386e-16
0.02,1.57079633,1.9085072,1.37957877e-15,7.38376115e-16,-1.11373008e-13,-9.27964523e-15,0,-0,4.4408921e-17,-5.55111512e-17,2.94065051e-17,2.46174394e-33,-1.28020016e-29,0,-1.81466363e-30,2,4.76350274e-18,1.35696428e-16,2.79439782e-16
0.022,1.57079633,1.9085072,1.08738182e-15,-6.40756314e-15,-8.58288825e-13,-9.05637269e-15,0,-0,4.4408921e-17,-5.55111512e-17,2.94065051e-17,1.1023143e-31,-9.84773499e-30,-0,1.2120716e-28,2,7.23892721e-18,1.44153998e-16,2.71880986e-16
0.024,1.57079633,1.9085072,-5.82845692e-16,-9.16953137e-15,-1.4547617e-12,-7.95457859e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.60149545e-31,4.63629186e-31,-0,-2.05229277e-29,2,7.41937264e-18,2.84555885e-16,2.54335007e-16
0.026,1.57079633,1.9085072,-2.41587978e-16,-9.58190783e-15,1.18697629e-12,-1.88834224e-15,0,-0,4.4408921e-17,-2.77555756e-17,5.79553434e-17,2.65407822e-31,4.56200784e-31,-0,5.54160931e-29,2,6.19256426e-18,5.09544177e-16,2.36096064e-16
0.028,1.57079633,1.9085072,1.00887323e-15,-1.4905784e-14,4.82261106e-13,-8.70571503e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.11446499e-16,6.00860769e-31,-8.78296281e-30,-0,2.97420256e-28,2,7.32269782e-18,6.5805962e-16,2.11206431e-16
0.03,1.57079633,1.9085072,9.34600101e-16,-2.22378247e-14,-7.13902304e-13,-9.36050052e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.12264356e-16,1.3214308e-30,-8.74832473e-30,-0,4.17289742e-28,2,9.37500004e-18,7.3146766e-16,1.72189992e-16
0.032,1.57079633,1.9085072,4.9514437e-16,-2.87021164e-14,-7.52626222e-13,-7.82720045e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.12264356e-16,2.19844281e-30,-3.87559423e-30,-0,4.37369521e-28,2,1.07029572e-17,7.46061791e-16,1.19439259e-16
0.034,1.57079633,1.9085072,-8.78674519e-16,-3.18752373e-14,-2.00021708e-12,-8.02056777e-16,0,-0,0,0,1.15644531e-16,2.71294926e-30,7.04746853e-31,-0,-8.03477602e-29,2,1.03908587e-17,7.13636911e-16,5.67873895e-17
0.036,1.57079633,1.9085072,-1.42410361e-15,-3.01039038e-14,1.5829878e-13,3.25628324e-15,0,-0,0,0,1.14850747e-16,2.42348638e-30,-4.63728472e-30,-0,-1.93584366e-28,2,7.72846961e-18,6.41279728e-16,-5.0359241e-18
0.038,1.57079633,1.9085072,-1.210182e-15,-2.76153679e-14,5.62897466e-13,3.49910516e-15,0,-0,0,0,1.14850747e-16,2.04333072e-30,-4.23455409e-30,-0,-1.68133775e-28,2,5.10360969e-18,5.34829385e-16,-6.21237081e-17
