time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0,1.57079633,1.9085072,0,0,-1.56393939e-12,0,0,-0,0,0,6.28190294e-17,0,0,0,0,2,0,0,0
0.002,1.57079633,1.9085072,-7.88664319e-16,3.28643685e-15,9.15393649e-14,4.59599212e-15,0,-0,0,0,6.28190294e-17,4.67497017e-32,-3.62469499e-30,0,4.49028029e-29,2,-1.30534105e-18,5.30185949e-18,4.06325903e-18
0.004,1.57079633,1.9085072,-5.46840102e-16,6.14138096e-15,3.28553321e-13,4.04939329e-15,0,-0,0,0,6.28190294e-17,1.50231834e-31,-2.21437064e-30,0,5.49886214e-29,2,-2.63038556e-18,1.52472681e-17,1.43394321e-17
0.006,1.57079633,1.9085072,-2.20442976e-16,8.12273524e-15,2.53241674e-13,2.75482289e-15,0,-0,0,0,6.28190294e-17,2.55876013e-31,-6.07281356e-31,0,4.60345586e-29,2,-3.30521602e-18,2.75273067e-17,2.92278652e-17
0.008,1.57079633,1.9085072,4.63824306e-18,9.39554654e-15,9.3524634e-13,1.70027598e-15,0,-0,0,0,3.23682852e-17,3.39238842e-31,7.88629327e-33,0,-5.73731217e-29,2,-3.4469344e-18,4.12128103e-17,4.71563456e-17
0.01,1.57079633,1.9085072,5.25309698e-16,8.81572618e-15,2.53456343e-14,-1.32022224e-15,0,-0,0,0,3.23682852e-17,2.42222036e-31,-6.93525547e-31,0,-3.79591586e-29,2,-2.6126525e-18,5.04000514e-17,6.53235728e-17
0.012,1.57079633,1.9085072,4.58344698e-16,8.04872476e-15,-1.41211295e-13,-1.48560157e-15,0,-0,0,0,3.23682852e-17,1.81835719e-31,-6.80917603e-31,0,-2.03734865e-29,2,-1.61224384e-18,5.46580275e-17,8.19780795e-17
0.014,1.57079633,1.9085072,3.07859874e-16,7.46736118e-15,6.47490074e-13,-1.09706962e-15,0,-0,0,-2.77555756e-17,1.66533454e-17,1.49944999e-31,-3.37743714e-31,0,-4.55185255e-29,2,-8.84459504e-19,5.60896372e-17,9.7314842e-17
0.016,1.57079633,1.9085072,5.78204449e-16,5.16917758e-15,-1.35201962e-13,-3.00168257e-15,0,-0,0,-2.77555756e-17,1.66533454e-17,7.23052118e-32,-1.73558621e-30,0,-2.7300088e-29,2,2.21320644e-19,5.59126778e-17,1.09353357e-16
0.018,1.57079633,1.9085072,3.77235566e-16,3.3272314e-15,-2.19459752e-13,-2.45897077e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.99571048e-32,-9.27611229e-31,0,-1.23302933e-29,2,1.14558587e-18,5.55649786e-17,1.17292009e-16
0.02,1.57079633,1.9085072,1.65396685e-16,2.07689925e-15,-1.59260367e-13,-1.63993142e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.16271027e-32,-2.7123922e-31,0,-5.06363921e-30,2,1.62589599e-18,5.54572073e-17,1.22300054e-16
0.022,1.57079633,1.9085072,-1.51210744e-16,2.75769532e-15,3.97438734e-13,1.71231199e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.03673204e-32,-2.5891997e-32,0,-5.73086812e-30,2,1.16964504e-18,5.62872504e-17,1.27573108e-16
0.024,1.57079633,1.9085072,-6.10125869e-16,3.41967975e-15,1.11639406e-12,2.61268719e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.17304592e-32,-1.59406804e-30,0,-4.40279591e-30,2,8.75884305e-19,5.68366329e-17,1.3282969e-16
0.026,1.57079633,1.9085072,7.68237864e-17,2.6967056e-15,1.48195238e-13,-7.33467672e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.94223084e-32,-5.63477638e-32,0,-6.54826626e-30,2,6.9869748e-19,5.7143378e-17,1.38860616e-16
0.028,1.57079633,1.9085072,-5.33338935e-16,3.24882118e-15,1.02390045e-12,2.35538536e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.86144256e-32,-1.25621872e-30,0,-4.24120767e-30,2,6.22618639e-19,5.72497217e-17,1.43850285e-16
0.03,1.57079633,1.9085072,9.34396596e-17,2.54865639e-15,1.3012582e-13,-7.22038324e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.73473965e-32,-6.74670152e-32,0,-5.86487217e-30,2,5.09680052e-19,5.72669462e-17,1.49558815e-16
0.032,1.57079633,1.9085072,-4.87972212e-16,3.07198117e-15,9.59346547e-13,2.20470502e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.56790142e-32,-1.07583479e-30,0,-3.91010913e-30,2,4.70312081e-19,5.71532072e-17,1.54272316e-16
0.034,1.57079633,1.9085072,9.82992671e-17,2.40737309e-15,1.20093614e-13,-6.85045395e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.5506041e-32,-6.73394602e-32,0,-5.24252554e-30,2,3.87098119e-19,5.69337711e-17,1.59665968e-16
0.036,1.57079633,1.9085072,-4.50858999e-16,2.90648852e-15,9.00902603e-13,2.07028509e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.31544373e-32,-9.33406663e-31,0,-3.6346892e-30,2,3.6801981e-19,5.6630734e-17,1.6412019e-16
0.038,1.57079633,1.9085072,9.91097211e-17,2.27559286e-15,1.11686961e-13,-6.47612097e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.39118487e-32,-6.41846543e-32,0,-4.70847318e-30,2,3.04126983e-19,5.62000024e-17,1.69219857e-16
0.04,1.57079633,1.9085072,-2.06901683e-16,2.92049828e-15,6.13770477e-13,9.81000563e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.32889957e-32,-2.02970667e-31,0,-5.38681569e-30,2,1.07015699e-19,5.57591944e-17,1.74177213e-16
0.042,1.57079633,1.9085072,1.47398696e-16,2.16758901e-15,4.09823311e-14,-8.59850314e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.27171512e-32,-1.26740815e-31,0,-4.53587719e-30,2,2.45713673e-19,5.49296311e-17,1.7911426e-16
0.044,1.57079633,1.9085072,-1.90010188e-16,2.77094614e-15,5.72539214e-13,9.01597238e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,2.12341208e-32,-1.7131266e-31,0,-5.03430747e-30,2,9.69074011e-20,5.42583137e-17,1.83810264e-16
0.046,1.57079633,1.9085072,1.39860125e-16,2.05254634e-15,3.71475856e-14,-8.15154651e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.15075475e-32,-1.14007631e-31,0,-4.11945332e-30,2,2.31708055e-19,5.32691788e-17,1.88488008e-16
0.048,1.57079633,1.9085072,-1.79655697e-16,2.62936925e-15,5.40437397e-13,8.52706195e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.94417832e-32,-1.53193526e-31,0,-4.69959194e-30,2,9.11445824e-20,5.24257913e-17,1.92940418e-16
0.05,1.57079633,1.9085072,1.31789965e-16,1.94649073e-15,3.51862262e-14,-7.67875981e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.04746844e-32,-1.01198348e-31,0,-3.75970573e-30,2,2.17852316e-19,5.12924626e-17,1.97377173e-16
