time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.002,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.004,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.006,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.008,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.01,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.012,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.014,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.016,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.018,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.02,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.022,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.024,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.026,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.028,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.03,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.032,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.034,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.036,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.038,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.04,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.042,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.044,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.046,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.048,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.05,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.052,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.054,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.056,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.058,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.06,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.062,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.064,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.066,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.068,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.07,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.072,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.074,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.076,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.078,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.08,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.082,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.084,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.086,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.088,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.09,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.092,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
