time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0,1.57079633,1.9085072,0,0,6.5271761e-13,0,0,-0,0,0,6.28190294e-17,0,0,0,0,3,0,0,0,0
0.002,1.57079633,1.9085072,3.08185001e-16,-8.12508519e-16,1.29883652e-14,-1.7824158e-15,0,-0,0,0,6.28190294e-17,5.18972315e-33,-5.49313814e-31,-0,5.35618685e-30,3,4.82981592e-19,1.07126173e-18,-9.72141028e-19,9.97047109e-20
0.004,1.57079633,1.9085072,2.48464176e-16,-1.65006392e-15,-1.47943658e-13,-1.76765064e-15,0,-0,0,0,6.28190294e-17,1.78853073e-32,-4.39197859e-31,-0,7.29673221e-30,3,1.05065952e-18,3.88934782e-18,-3.66849028e-18,1.06283985e-18
0.006,1.57079633,1.9085072,-8.83199978e-17,-1.45275583e-15,3.79252452e-13,2.87673177e-17,0,-0,0,0,6.28190294e-17,1.25927171e-32,-2.54072944e-33,-0,4.08482157e-30,3,8.25665342e-19,6.77180239e-18,-6.67899141e-18,2.206744e-18
0.008,1.57079633,1.9085072,-3.70705624e-16,-1.34347782e-15,7.97316214e-13,1.50279444e-15,0,-0,0,0,6.28190294e-17,9.68955863e-33,-5.57094349e-31,-0,1.36592312e-30,3,7.01467362e-19,9.63417596e-18,-9.84172812e-18,3.09729699e-18
0.01,1.57079633,1.9085072,6.88600095e-17,-1.63123272e-15,1.59277851e-13,-6.47205834e-16,0,-0,0,0,6.28190294e-17,1.62957382e-32,-4.45665999e-32,-0,5.15538815e-30,3,6.05811573e-19,1.17973965e-17,-1.28164972e-17,3.54157694e-18
0.012,1.57079633,1.9085072,-1.81397441e-16,-1.46645626e-15,5.51540017e-13,6.80213097e-16,0,-0,0,0,6.28190294e-17,1.25524322e-32,-1.23388915e-31,-0,2.35538865e-30,3,4.53548211e-19,1.39436221e-17,-1.60864619e-17,3.90488804e-18
0.014,1.57079633,1.9085072,1.0849089e-16,-1.82529372e-15,7.8115169e-14,-8.04908831e-16,0,-0,0,0,6.28190294e-17,2.05518431e-32,-8.73252752e-32,-0,5.37539069e-30,3,5.24908765e-19,1.61507662e-17,-1.94225339e-17,4.02544239e-18
0.016,1.57079633,1.9085072,-5.54221814e-17,-1.59272039e-15,3.77623588e-13,1.24620575e-16,0,-0,0,0,6.28190294e-17,1.58226791e-32,-6.9067441e-33,-0,3.00593777e-30,3,3.04980665e-19,1.75988226e-17,-2.27242597e-17,3.64948109e-18
0.018,1.57079633,1.9085072,1.29762168e-16,-1.98858631e-15,7.75783828e-14,-8.88624934e-16,0,-0,0,0,6.28190294e-17,2.45419517e-32,-1.15309898e-31,-0,-2.5295306e-29,3,4.7962819e-19,1.98982785e-17,-2.63775502e-17,3.52468353e-18
